"relative_path","file_type","file_size_bytes","purpose","kept_in_training_artifact","note"
"args.yaml","yaml","1898","Ultralytics training arguments","yes","historical training metadata"
"confusion_matrix.png","png","75642","training or evaluation visualization","yes","recommended keep"
"confusion_matrix_normalized.png","png","82050","training or evaluation visualization","yes","recommended keep"
"F1_curve.png","png","82747","training or evaluation visualization","yes","recommended keep"
"labels.jpg","jpg","151357","training or evaluation visualization","yes","recommended keep"
"labels_correlogram.jpg","jpg","200105","training or evaluation visualization","yes","recommended keep"
"model_card.md","md","1077","experiment documentation","yes","generated pre-package documentation"
"P_curve.png","png","74838","training or evaluation visualization","yes","recommended keep"
"PR_curve.png","png","75057","training or evaluation visualization","yes","recommended keep"
"R_curve.png","png","85310","training or evaluation visualization","yes","recommended keep"
"results.csv","csv","34037","training metrics table","yes","recommended keep"
"results.png","png","261917","training or evaluation visualization","yes","recommended keep"
"train_batch0.jpg","jpg","426076","training or evaluation visualization","yes","recommended keep"
"train_batch1.jpg","jpg","442493","training or evaluation visualization","yes","recommended keep"
"train_batch2.jpg","jpg","453154","training or evaluation visualization","yes","recommended keep"
"train_batch2880.jpg","jpg","407800","training or evaluation visualization","yes","recommended keep"
"train_batch2881.jpg","jpg","434877","training or evaluation visualization","yes","recommended keep"
"train_batch2882.jpg","jpg","408063","training or evaluation visualization","yes","recommended keep"
"val_batch0_labels.jpg","jpg","394735","training or evaluation visualization","yes","recommended keep"
"val_batch0_pred.jpg","jpg","403095","training or evaluation visualization","yes","recommended keep"
"weights\best.onnx","onnx","10956580","ordinary ONNX export from training weight","yes","ordinary training ONNX, not quantization output"
"weights\best.pt","pt","5620335","best PyTorch training weight","yes","recommended keep"
"weights\last.pt","pt","5620335","last epoch PyTorch training weight","yes","recommended keep"
