                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0392,                 2.7027,                 1.1555,                0.00269,                      1,                  0.995,                0.69308,                0.98135,                 2.9933,                 1.0333,                0.00062,                0.00062,                0.00062
                      2,                0.97385,                 1.6444,                 1.0629,                0.00269,                      1,                0.85231,                0.50769,                 1.3578,                  3.073,                  1.329,              0.0012475,              0.0012475,              0.0012475
                      3,                0.90953,                 1.3966,                 1.0559,                      1,                0.83908,                0.95894,                0.70109,                0.93044,                 1.9569,                 1.0937,              0.0018624,              0.0018624,              0.0018624
                      4,                 0.9791,                 1.2011,                 1.0793,                      1,                0.50982,                0.66928,                0.47447,                 1.2976,                 1.9995,                 1.2139,              0.0019406,              0.0019406,              0.0019406
                      5,                0.93359,                 1.0084,                 1.0349,                0.02329,                    0.2,                 0.0221,                0.00994,                 2.2429,                 3.9297,                  2.101,              0.0019208,              0.0019208,              0.0019208
                      6,                 0.9051,                0.89716,                 1.0501,                0.68742,                    0.8,                0.72306,                0.25869,                 2.4306,                 1.7953,                 1.9643,               0.001901,               0.001901,               0.001901
                      7,                0.89759,                0.76489,                 1.0256,                0.99734,                      1,                  0.995,                0.72681,                0.97016,                0.74204,                 1.0512,              0.0018812,              0.0018812,              0.0018812
                      8,                0.89209,                0.70577,                  1.027,                0.96057,                0.97489,                0.99346,                0.68213,                 1.0773,                0.83346,                 1.0906,              0.0018614,              0.0018614,              0.0018614
                      9,                0.87037,                0.66295,                 1.0128,                0.99554,                      1,                  0.995,                0.74482,                0.92356,                 0.5504,                 1.0213,              0.0018416,              0.0018416,              0.0018416
                     10,                0.81999,                 0.6041,                0.99474,                0.89223,                   0.56,                0.69811,                0.55654,                0.98386,                 1.8079,                 1.1048,              0.0018218,              0.0018218,              0.0018218
                     11,                0.85388,                0.60316,                 1.0056,                0.97939,                      1,                  0.995,                0.75375,                0.84048,                0.54059,                0.99092,               0.001802,               0.001802,               0.001802
