"relative_path","file_type","file_size_bytes","purpose","kept_in_training_artifact","note"
"args.yaml","yaml","1903","Ultralytics training arguments","yes","historical training metadata"
"confusion_matrix.png","png","87156","training or evaluation visualization","yes","recommended keep"
"confusion_matrix_normalized.png","png","85897","training or evaluation visualization","yes","recommended keep"
"F1_curve.png","png","90419","training or evaluation visualization","yes","recommended keep"
"labels.jpg","jpg","167452","training or evaluation visualization","yes","recommended keep"
"labels_correlogram.jpg","jpg","224693","training or evaluation visualization","yes","recommended keep"
"model_card.md","md","1275","experiment documentation","yes","generated pre-package documentation"
"P_curve.png","png","72744","training or evaluation visualization","yes","recommended keep"
"PR_curve.png","png","75420","training or evaluation visualization","yes","recommended keep"
"R_curve.png","png","97105","training or evaluation visualization","yes","recommended keep"
"results.csv","csv","25949","training metrics table","yes","recommended keep"
"results.png","png","348231","training or evaluation visualization","yes","recommended keep"
"train_batch0.jpg","jpg","491164","training or evaluation visualization","yes","recommended keep"
"train_batch1.jpg","jpg","460363","training or evaluation visualization","yes","recommended keep"
"train_batch2.jpg","jpg","496409","training or evaluation visualization","yes","recommended keep"
"val_batch0_labels.jpg","jpg","359105","training or evaluation visualization","yes","recommended keep"
"val_batch0_pred.jpg","jpg","372424","training or evaluation visualization","yes","recommended keep"
"val_batch1_labels.jpg","jpg","357806","training or evaluation visualization","yes","recommended keep"
"val_batch1_pred.jpg","jpg","370884","training or evaluation visualization","yes","recommended keep"
"val_batch2_labels.jpg","jpg","388564","training or evaluation visualization","yes","recommended keep"
"val_batch2_pred.jpg","jpg","401426","training or evaluation visualization","yes","recommended keep"
"weights\best.onnx","onnx","10956587","ordinary ONNX export from training weight","yes","ordinary training ONNX, not quantization output"
"weights\best.pt","pt","5617519","best PyTorch training weight","yes","recommended keep"
"weights\last.pt","pt","5617519","last epoch PyTorch training weight","yes","recommended keep"
