                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0278,                 2.1906,                0.97565,                0.99917,                      1,                  0.995,                0.64143,                 1.2642,                0.83979,                0.91324,              0.0033273,              0.0033273,              0.0033273
                      2,                 1.0399,                0.87352,                 1.0097,                0.99846,                      1,                  0.995,                0.63666,                  1.245,                0.68353,                 1.0115,              0.0065947,              0.0065947,              0.0065947
                      3,                 1.0762,                0.72712,                 1.0595,                0.99494,                0.97285,                 0.9941,                0.63402,                 1.2812,                0.67575,                 1.0421,              0.0097961,              0.0097961,              0.0097961
                      4,                 1.0902,                 0.6678,                  1.082,                0.99904,                      1,                  0.995,                 0.6763,                 1.2507,                0.60812,                 1.1057,               0.009703,               0.009703,               0.009703
                      5,                 1.0442,                0.61823,                  1.078,                0.99043,                0.99548,                0.99446,                0.60375,                 1.3539,                0.61404,                 1.1809,               0.009604,               0.009604,               0.009604
                      6,                 1.0166,                0.57983,                 1.0725,                 0.9995,                      1,                  0.995,                0.67423,                 1.3111,                0.56574,                 1.1045,               0.009505,               0.009505,               0.009505
                      7,                0.99603,                 0.5551,                 1.0654,                0.99952,                      1,                  0.995,                0.67019,                 1.3128,                0.56064,                 1.0992,               0.009406,               0.009406,               0.009406
                      8,                0.97015,                 0.5337,                 1.0569,                0.99923,                      1,                  0.995,                0.68724,                   1.25,                0.51799,                 1.0891,               0.009307,               0.009307,               0.009307
                      9,                0.97032,                0.53303,                 1.0522,                0.99931,                      1,                  0.995,                0.63777,                 1.4299,                0.55931,                 1.1476,               0.009208,               0.009208,               0.009208
                     10,                0.93944,                0.50488,                 1.0436,                0.99958,                      1,                  0.995,                0.68553,                 1.2504,                0.46679,                 1.1097,               0.009109,               0.009109,               0.009109
                     11,                0.92939,                0.49239,                 1.0457,                      1,                 0.9931,                  0.995,                0.67841,                 1.2671,                0.70441,                  1.102,                0.00901,                0.00901,                0.00901
                     12,                 0.9307,                0.49049,                 1.0414,                0.99961,                      1,                  0.995,                0.70403,                 1.1898,                0.45468,                 1.0759,               0.008911,               0.008911,               0.008911
                     13,                0.90349,                 0.4739,                 1.0313,                0.99877,                      1,                  0.995,                0.67943,                   1.19,                0.52365,                  1.083,               0.008812,               0.008812,               0.008812
                     14,                0.90364,                 0.4705,                 1.0354,                0.99835,                      1,                  0.995,                0.66967,                 1.3663,                0.57544,                 1.1209,               0.008713,               0.008713,               0.008713
                     15,                 0.8994,                0.46752,                 1.0367,                0.99954,                      1,                  0.995,                0.68287,                  1.265,                0.47148,                 1.1242,               0.008614,               0.008614,               0.008614
                     16,                0.88863,                0.45487,                 1.0183,                0.99962,                      1,                  0.995,                0.70661,                 1.2368,                0.44062,                 1.0953,               0.008515,               0.008515,               0.008515
                     17,                0.89445,                0.45578,                  1.031,                0.99969,                      1,                  0.995,                0.70597,                 1.1871,                0.44383,                  1.085,               0.008416,               0.008416,               0.008416
                     18,                0.87767,                0.44959,                 1.0304,                0.99777,                      1,                  0.995,                0.64972,                 1.2951,                0.67583,                 1.1192,               0.008317,               0.008317,               0.008317
                     19,                0.87344,                0.45078,                 1.0198,                      1,                0.98873,                  0.995,                 0.6997,                 1.2163,                0.50459,                 1.1086,               0.008218,               0.008218,               0.008218
                     20,                0.87446,                0.44383,                 1.0157,                      1,                0.98833,                  0.995,                0.70091,                 1.2157,                0.50047,                 1.0987,               0.008119,               0.008119,               0.008119
                     21,                 0.8696,                0.44087,                 1.0175,                      1,                  0.992,                  0.995,                0.69645,                 1.2499,                0.62605,                 1.1311,                0.00802,                0.00802,                0.00802
                     22,                0.86327,                0.43061,                 1.0084,                0.99957,                      1,                  0.995,                0.70588,                 1.2039,                 0.4475,                 1.0856,               0.007921,               0.007921,               0.007921
                     23,                0.86505,                 0.4285,                 1.0132,                      1,                      1,                  0.995,                0.69995,                 1.2424,                0.42363,                 1.1087,               0.007822,               0.007822,               0.007822
                     24,                0.85779,                0.42605,                 1.0137,                0.99997,                      1,                  0.995,                0.66624,                 1.2724,                0.50153,                 1.1657,               0.007723,               0.007723,               0.007723
                     25,                0.85818,                0.42902,                 1.0086,                      1,                0.94927,                0.99403,                0.70267,                 1.2066,                0.51477,                 1.0977,               0.007624,               0.007624,               0.007624
                     26,                0.85212,                0.41981,                 1.0129,                      1,                0.98286,                0.99495,                0.71511,                 1.1932,                0.46989,                 1.0998,               0.007525,               0.007525,               0.007525
                     27,                0.84388,                0.41965,                 1.0068,                0.99506,                0.91112,                0.97646,                0.64222,                 1.3463,                0.57942,                 1.1802,               0.007426,               0.007426,               0.007426
                     28,                 0.8567,                0.41733,                 1.0092,                0.99929,                      1,                  0.995,                0.65659,                 1.3125,                0.46145,                 1.1488,               0.007327,               0.007327,               0.007327
                     29,                0.84185,                0.41395,                  1.005,                 0.9996,                      1,                  0.995,                0.67543,                  1.294,                0.41792,                 1.1542,               0.007228,               0.007228,               0.007228
                     30,                0.83486,                0.40737,                 1.0048,                      1,                0.94414,                  0.995,                 0.6804,                 1.2664,                0.59806,                 1.1522,               0.007129,               0.007129,               0.007129
                     31,                0.83765,                0.40706,                 1.0045,                0.99932,                      1,                  0.995,                0.69714,                 1.2637,                0.46754,                 1.1318,                0.00703,                0.00703,                0.00703
